"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14003","Проверка кнопки Return the store","chromium","Thu Dec 19 19:51:58 GMT 2024","failed","Thu Dec 19 19:52:12 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","307","Выполнить запрос DELETE /heartbeat @DELETE","chromium","Thu Dec 19 19:52:22 GMT 2024","passed","Thu Dec 19 19:52:23 GMT 2024","API challenge","apiPW.spec.js","",""
"","6897","Проверка пагинации","chromium","Thu Dec 19 19:50:52 GMT 2024","failed","Thu Dec 19 19:50:59 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3205","Проверка перехода на страницу производителя","chromium","Thu Dec 19 19:51:22 GMT 2024","passed","Thu Dec 19 19:51:25 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3598","Смена валюты","chromium","Thu Dec 19 19:50:03 GMT 2024","passed","Thu Dec 19 19:50:07 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7377","Оставить отзыв","chromium","Thu Dec 19 19:50:26 GMT 2024","failed","Thu Dec 19 19:50:33 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","301","Создание задачи через PUT /todos @PUT","chromium","Thu Dec 19 19:52:22 GMT 2024","passed","Thu Dec 19 19:52:22 GMT 2024","API challenge","apiPW.spec.js","",""
"","313","Получить список заданий GET /challenges (200) @GET","chromium","Thu Dec 19 19:52:14 GMT 2024","passed","Thu Dec 19 19:52:14 GMT 2024","API challenge","apiPW.spec.js","",""
"","310","Создание задачи POST /todos @POST","chromium","Thu Dec 19 19:52:21 GMT 2024","passed","Thu Dec 19 19:52:21 GMT 2024","API challenge","apiPW.spec.js","",""
"","297","Вернуть определенную задачу GET /todos/{id} @GET","chromium","Thu Dec 19 19:52:19 GMT 2024","failed","Thu Dec 19 19:52:19 GMT 2024","API challenge","apiPW.spec.js","",""
"","311","Обновление задачи POST /todos @POST","chromium","Thu Dec 19 19:52:22 GMT 2024","passed","Thu Dec 19 19:52:22 GMT 2024","API challenge","apiPW.spec.js","",""
